ID;CAT_ESP;LN(OR);LN(IC_INF);LN(IC_SUP);SE(LN(OR))
1;medio;-0,08;-0,29;0,13;0,11
1;alto;-0,04;-0,26;0,17;0,11
2;medio;-0,04;-0,65;0,58;0,31
2;alto;0,29;-0,39;0,97;0,35
3;medio;-0,12;-0,24;0,01;0,06
3;alto;-0,04;-0,2;0,11;0,08
4;medio;-0,17;-0,39;0,03;0,11
4;alto;-0,37;-0,62;-0,14;0,12
5;medio;-0,03;-0,29;0,24;0,13
5;alto;0,06;-0,17;0,3;0,12
6;medio;-0,13;-0,19;-0,06;0,03
6;alto;-0,08;-0,18;-0,08;0,03
7;medio;0,04;-0,32;0,39;0,18
8;medio;-0,02;-0,3;0,26;0,14
8;alto;-0,16;-0,43;0,1;0,13
